PublicID	Analyzable	AccessionNumber	NewlySubmittedSample	Country	Province	Year	Source	Population	Cov5x	Cov10x	Cov25x	Cov50x	Cov100x	CovTotal	LenTotal	Fws	SampleInJointCallVcf	InImputedDeconvolutedVCF	RemovedInDedup	Hap1Ratio	Hap2Ratio
CVD_KHM_276	True	SRR25607303	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22699244.0	22613601.0	22350338.0	21485264.0	17111266.0	3511959595.0	22838035.0	0.990129743313406	True	True	False	1.0	0.0
CVD_KHM_277	True	SRR25607268	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22719425.0	22617884.0	22228389.0	20627998.0	14013728.0	2780756797.0	22870824.0	0.950841657987938	True	True	False	1.0	0.0
CVD_KHM_278	True	SRR25607257	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22630421.0	22519493.0	22139787.0	20661376.0	14343946.0	2842832591.0	22807484.0	0.990006137584461	True	True	False	1.0	0.0
CVD_KHM_279	True	SRR25607126	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22648906.0	22522619.0	21950996.0	19416524.0	11231832.0	2229077029.0	22824777.0	0.990466216288214	True	True	False	1.0	0.0
CVD_KHM_280	True	SRR25607115	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22656475.0	22522737.0	21822496.0	18801262.0	10707397.0	2162677194.0	22835878.0	0.989373011664168	True	True	False	1.0	0.0
CVD_KHM_281	True	SRR25607152	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22681901.0	22589320.0	22322682.0	21491034.0	16918627.0	3148149977.0	22832356.0	0.990249291414536	True	True	False	1.0	0.0
CVD_KHM_282	True	SRR25607141	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22705860.0	22604829.0	22248444.0	20820698.0	14215979.0	2747626852.0	22857126.0	0.98904138313663	True	True	False	1.0	0.0
CVD_KHM_283	True	SRR25607037	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22265381.0	21385925.0	14030109.0	739507.0	65821.0	667183749.0	22739925.0	0.989506655320811	True	True	False	1.0	0.0
CVD_KHM_284	True	SRR25607025	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22287657.0	21568808.0	15979953.0	3806667.0	137086.0	812129657.0	22718287.0	0.988377648588594	True	True	False	1.0	0.0
CVD_KHM_285	True	SRR25606990	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22324664.0	21486674.0	15472475.0	2831540.0	100222.0	770522022.0	22765901.0	0.992318323555244	True	True	False	1.0	0.0
CVD_KHM_286	True	SRR25606979	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22492117.0	22119666.0	19090036.0	11467435.0	656767.0	1191163304.0	22772038.0	0.987179081110994	True	True	False	1.0	0.0
CVD_KHM_287	True	SRR25606968	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	21919017.0	19999131.0	8352546.0	261938.0	32921.0	512696638.0	22718200.0	0.94916360387022	True	True	False	1.0	0.0
CVD_KHM_288	True	SRR25607077	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	18566814.0	10988924.0	292952.0	27796.0	1207.0	245035427.0	22511270.0	0.990540155570951	True	True	False	1.0	0.0
CVD_KHM_289	True	SRR25607066	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22429815.0	21788687.0	16907023.0	6250607.0	168326.0	898367313.0	22800334.0	0.978744563213924	True	True	False	1.0	0.0
CVD_KHM_290	True	SRR25607343	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22774348.0	22722478.0	22613731.0	22447979.0	21927917.0	8995489421.0	22881855.0	0.986844962031133	True	True	False	0.74	0.26
CVD_KHM_291	True	SRR25607332	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22693503.0	22617549.0	22416203.0	21920993.0	19553328.0	4266865240.0	22853003.0	0.985897082972787	True	True	False	0.76	0.24
CVD_KHM_292	True	SRR25606940	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22707031.0	22630250.0	22388451.0	21614776.0	17761040.0	4193582683.0	22846082.0	0.9899963627957	True	True	False	1.0	0.0
CVD_KHM_293	True	SRR25606929	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22564388.0	22385504.0	21197089.0	15991835.0	3420730.0	1611975330.0	22781466.0	0.989693523740888	True	True	False	1.0	0.0
CVD_KHM_294	True	SRR25607007,SRR25606996	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22743494.0	22666525.0	22388307.0	21372976.0	17015805.0	4242757919.0	22878123.0	0.989499853877926	True	True	False	0.75	0.25
CVD_KHM_295	True	SRR25607369	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	1585983.0	83165.0	1621.0	0.0	0.0	48812113.0	17274643.0	0.972168579404774	True	True	False	0.97	0.03
CVD_KHM_296	True	SRR25607358	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	12748049.0	4542829.0	120408.0	23610.0	3540.0	158793996.0	21923680.0	0.992483887056317	True	True	False	1.0	0.0
CVD_KHM_297	True	SRR25607296	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22595423.0	22404679.0	21157420.0	16071530.0	5317532.0	1697605545.0	22825792.0	0.986706511511976	True	True	False	1.0	0.0
CVD_KHM_298	True	SRR25607285	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22675558.0	22534738.0	21778509.0	17999119.0	6181165.0	1806600104.0	22859868.0	0.968011691103344	True	True	False	1.0	0.0
CVD_KHM_299	True	SRR25606965	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	21286446.0	18240315.0	7485624.0	351726.0	46760.0	481571237.0	22686784.0	0.988269888325028	True	True	False	1.0	0.0
CVD_KHM_300	True	SRR25606954	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22591729.0	22343232.0	20441829.0	13163105.0	360498.0	1258504827.0	22826118.0	0.989023310707252	True	True	False	1.0	0.0
CVD_KHM_301	True	SRR25607105	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22476610.0	22091816.0	18785256.0	7746587.0	181465.0	979133196.0	22775535.0	0.991136534696665	True	True	False	1.0	0.0
CVD_KHM_302	True	SRR25607094	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	13887671.0	6475272.0	170973.0	19574.0	583.0	180457443.0	21832119.0	0.984248523045311	True	True	False	1.0	0.0
CVD_KHM_303	True	SRR25606847	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22499899.0	22104652.0	18838648.0	8733309.0	171159.0	1009700334.0	22809211.0	0.982649315878808	True	True	False	1.0	0.0
CVD_KHM_304	True	SRR25606836	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	21655468.0	19364898.0	6803291.0	144563.0	13764.0	472110004.0	22642782.0	0.99276689755155	True	True	False	1.0	0.0
CVD_KHM_305	True	SRR25607249	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	18417651.0	16767315.0	13237620.0	7404778.0	312372.0	818266439.0	21164896.0	0.991624876213276	True	True	False	1.0	0.0
CVD_KHM_306	True	SRR25607238	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22447560.0	21992821.0	18554262.0	10029858.0	236913.0	1065657332.0	22808592.0	0.972947266258761	True	True	False	1.0	0.0
CVD_KHM_307	True	SRR25606827	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22436883.0	22134908.0	19943840.0	12114637.0	228048.0	1171847060.0	22732472.0	0.989263758400284	True	True	False	1.0	0.0
CVD_KHM_308	True	SRR25607459	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	19338166.0	17934030.0	14875726.0	11072616.0	1759389.0	1132252906.0	21632904.0	0.93540306243872	True	True	False	0.8	0.19
CVD_KHM_309	True	SRR25607448	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	20800034.0	19688270.0	16971508.0	13219699.0	4892153.0	1462106907.0	22360377.0	0.775023857625496	True	True	False	0.81	0.19
CVD_KHM_310	True	SRR25606915	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	10192930.0	2317922.0	98133.0	19271.0	4830.0	129396019.0	21639598.0	0.990103465617264	True	True	False	1.0	0.0
CVD_KHM_311	True	SRR25606904	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22316317.0	21488947.0	15570811.0	4145082.0	145153.0	811603108.0	22757335.0	0.989581192287162	True	True	False	1.0	0.0
CVD_KHM_312	True	SRR25607439	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22268076.0	21457016.0	15603258.0	4002448.0	121499.0	806112296.0	22756714.0	0.977563764367868	True	True	False	1.0	0.0
CVD_KHM_313	True	SRR25607427	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22451279.0	22195559.0	20427136.0	13722155.0	435237.0	1296633532.0	22743517.0	0.9890480884882	True	True	False	1.0	0.0
CVD_KHM_314	True	SRR25607221	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22696207.0	22602118.0	22311159.0	21364062.0	16782295.0	3454742914.0	22862269.0	0.928559599184287	True	True	False	1.0	0.0
CVD_KHM_315	True	SRR25607210	True	Cambodia	Kratie	2015	AFRIMS	ESEA	21734644.0	19645598.0	10576779.0	301236.0	12193.0	554352552.0	22735911.0	0.966969787716446	True	True	False	1.0	0.0
CVD_KHM_316	True	SRR25606896	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22680759.0	22511085.0	21811352.0	18954297.0	11106847.0	2205289437.0	22879986.0	0.871299747981147	True	True	False	0.85	0.08
CVD_KHM_317	True	SRR25606885	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22601802.0	22460188.0	21769408.0	18770993.0	10577733.0	2142755282.0	22794698.0	0.99052629783423	True	True	False	1.0	0.0
CVD_KHM_318	True	SRR25607201	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22732178.0	22668755.0	22507867.0	22188690.0	20755892.0	5602212739.0	22867204.0	0.988342701387734	True	True	False	0.75	0.25
CVD_KHM_319	True	SRR25607190	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22601015.0	22464921.0	21891328.0	19261663.0	10881958.0	2176488059.0	22808346.0	0.987856925475645	True	True	False	1.0	0.0
CVD_KHM_320	True	SRR25607422	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22146540.0	21059479.0	13572583.0	1009937.0	31137.0	668199031.0	22704414.0	0.9846525812891	True	True	False	1.0	0.0
CVD_KHM_321	True	SRR25607411	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22625934.0	22499020.0	22135015.0	20854531.0	14710056.0	2823292430.0	22844907.0	0.981656012955112	True	True	False	1.0	0.0
CVD_KHM_322	True	SRR25607400	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22532914.0	22417332.0	22070825.0	20873636.0	15177766.0	2968774788.0	22747223.0	0.985488166245892	True	True	False	1.0	0.0
CVD_KHM_323	True	SRR25606866	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22642837.0	22538593.0	22241482.0	21262916.0	16239796.0	3163578405.0	22813716.0	0.986980486374735	True	True	False	1.0	0.0
CVD_KHM_324	True	SRR25606855	True	Cambodia	Kratie	2015	AFRIMS	ESEA	20494256.0	15850048.0	1627853.0	40473.0	1489.0	337304007.0	22598299.0	0.988860893356746	True	True	False	1.0	0.0
CVD_KHM_325	True	SRR25607054	True	Cambodia	Kratie	2015	AFRIMS	ESEA	6399021.0	628658.0	47590.0	33873.0	25400.0	101434933.0	21139268.0	0.989891868080836	True	True	False	1.0	0.0
CVD_KHM_326	True	SRR25607043	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22634457.0	22534348.0	22211034.0	21156096.0	15861008.0	3042023419.0	22805100.0	0.987142894639599	True	True	False	1.0	0.0
CVD_KHM_327	True	SRR25607173	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22624554.0	22513745.0	22143115.0	20851894.0	15080220.0	2991145665.0	22803403.0	0.986927654463879	True	True	False	0.77	0.23
CVD_KHM_328	True	SRR25607169	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22656239.0	22556897.0	22225444.0	21002783.0	15488377.0	3134882317.0	22817303.0	0.987280904194074	True	True	False	0.78	0.22
CVD_KHM_329	True	SRR25607168	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22707103.0	22627909.0	22429105.0	21961618.0	19630750.0	4520339868.0	22855363.0	0.990138114812668	True	True	False	1.0	0.0
CVD_KHM_330	True	SRR25607167	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22752998.0	22662597.0	22401788.0	21707480.0	18166191.0	3815815183.0	22900900.0	0.908237726278162	True	True	False	0.85	0.15
CVD_KHM_331	True	SRR25607166	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22662302.0	22568594.0	22264683.0	21201438.0	16026218.0	3233893545.0	22824597.0	0.9873837787155	True	True	False	0.74	0.26
CVD_KHM_332	True	SRR25607165	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22655581.0	22557942.0	22211439.0	20923857.0	15470156.0	3200125875.0	22824155.0	0.986682484231762	True	True	False	0.73	0.27
CVD_KHM_333	True	SRR25607163	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22680385.0	22593084.0	22305410.0	21274913.0	16342369.0	3445173744.0	22840716.0	0.985619323240823	True	True	False	0.7	0.3
CVD_KHM_334	True	SRR25607162	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22716947.0	22599611.0	22187050.0	20652846.0	13537417.0	2578620463.0	22891757.0	0.890118294392562	True	True	False	0.86	0.14
CVD_KHM_335	True	SRR25607161	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22658904.0	22550177.0	22161240.0	20614924.0	14265190.0	2821336098.0	22824684.0	0.990791896236489	True	True	False	0.74	0.26
CVD_KHM_336	True	SRR25607160	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22647418.0	22523441.0	21974696.0	19725109.0	13085321.0	2670763483.0	22823902.0	0.989281011215449	True	True	False	0.77	0.23
CVD_KHM_337	True	SRR25607159	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22641586.0	22524622.0	22124568.0	20619225.0	13352822.0	2489847500.0	22832051.0	0.928754021334042	True	True	False	1.0	0.0
CVD_KHM_338	True	SRR25607158	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22648109.0	22557663.0	22276883.0	21344343.0	16621010.0	3393580429.0	22811669.0	0.985084894706162	True	True	False	0.74	0.26
CVD_KHM_339	True	SRR25607157	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22695097.0	22595332.0	22211246.0	20679908.0	14164767.0	2759133193.0	22850566.0	0.988834323364256	True	True	False	0.75	0.25
CVD_KHM_340	True	SRR25607399	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22563268.0	22413710.0	21701125.0	18465621.0	9226120.0	1981197534.0	22761853.0	0.984686528044308	True	True	False	1.0	0.0
CVD_KHM_341	True	SRR25607398	True	Cambodia	Kratie	2015	AFRIMS	ESEA	22709509.0	22635421.0	22429182.0	21887956.0	19147249.0	4509565519.0	22859614.0	0.99217661643843	True	True	False	1.0	0.0
CVD_KHM_342	True	SRR25607397	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22224701.0	21703015.0	19448321.0	13355901.0	404911.0	1234944814.0	22709721.0	0.991214658140832	True	True	False	1.0	0.0
CVD_KHM_343	True	SRR25607395	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22453039.0	22130752.0	20915651.0	17760063.0	8373504.0	1897860415.0	22799670.0	0.985199899240664	True	True	False	1.0	0.0
CVD_KHM_344	True	SRR25607394	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22151838.0	21673631.0	20081350.0	16601185.0	5874758.0	1702458381.0	22654688.0	0.987355892970259	True	True	False	1.0	0.0
CVD_KHM_345	True	SRR25607393	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22410500.0	22115907.0	21083089.0	18576962.0	10756070.0	2090741660.0	22740596.0	0.988318233698705	True	True	False	1.0	0.0
CVD_KHM_346	True	SRR25607392	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22142424.0	21576464.0	19279206.0	13619545.0	539479.0	1270389723.0	22675920.0	0.992419424193602	True	True	False	1.0	0.0
CVD_KHM_347	True	SRR25607391	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22005631.0	21164949.0	17188060.0	5789468.0	163332.0	885361074.0	22677503.0	0.990354210949123	True	True	False	1.0	0.0
CVD_KHM_348	True	SRR25607390	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	5080391.0	556899.0	6714.0	136.0	0.0	78445213.0	18306956.0	0.957034743691983	True	True	False	0.96	0.04
CVD_KHM_349	True	SRR25607389	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	13319828.0	5138907.0	86093.0	7523.0	163.0	159957104.0	21100829.0	0.994139046028263	True	True	False	1.0	0.0
CVD_KHM_350	True	SRR25607388	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	745254.0	16295.0	112.0	0.0	0.0	40256520.0	16495909.0	0.994089030051756	True	True	False	1.0	0.0
CVD_KHM_351	True	SRR25607387	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22529640.0	22332596.0	21764955.0	20758301.0	18504350.0	5009408273.0	22786608.0	0.991321650901563	True	True	False	0.76	0.24
CVD_KHM_352	True	SRR25607386	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21885730.0	21214083.0	19254334.0	15907612.0	8201703.0	1806284721.0	22602268.0	0.992080138710783	True	True	False	1.0	0.0
CVD_KHM_353	True	SRR25607384	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	20155484.0	18764846.0	15587343.0	11765805.0	2563303.0	1236603156.0	21878102.0	0.992929193091518	True	True	False	1.0	0.0
CVD_KHM_354	True	SRR25607383	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21936639.0	21238219.0	18650907.0	13017785.0	599935.0	1235431059.0	22615248.0	0.992359239407044	True	True	False	1.0	0.0
CVD_KHM_355	True	SRR25607382	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	20816821.0	18541971.0	7942946.0	253507.0	36383.0	487129079.0	22386180.0	0.989850897883	True	True	False	1.0	0.0
CVD_KHM_356	True	SRR25607381	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21506035.0	20009547.0	12865271.0	1059348.0	36200.0	634144762.0	22590606.0	0.989375941665983	True	True	False	1.0	0.0
CVD_KHM_357	True	SRR25607380	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22495890.0	22107661.0	19971737.0	12616815.0	365345.0	1200293342.0	22835505.0	0.955778970859827	True	True	False	0.81	0.19
CVD_KHM_358	True	SRR25607379	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22488981.0	22278029.0	21716318.0	20778393.0	18743613.0	5347104676.0	22769446.0	0.991304524761296	True	True	False	1.0	0.0
CVD_KHM_359	True	SRR25607378	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22479905.0	22253369.0	21577252.0	20186886.0	16421893.0	3334503223.0	22757627.0	0.992149400210755	True	True	False	1.0	0.0
CVD_KHM_109	True	SRR25607377	True			-1	AFRIMS	ESEA	22323109.0	21996137.0	20969000.0	19023848.0	14519326.0	3211741027.0	22715840.0	0.992722608617029	True	True	False	1.0	0.0
CVD_KHM_360	True	SRR25607376	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21654007.0	20841567.0	18393231.0	14046516.0	1750864.0	1383568317.0	22562002.0	0.989611283314765	True	True	False	1.0	0.0
CVD_KHM_361	True	SRR25606853	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22483109.0	22257828.0	21553433.0	20077493.0	15786633.0	2973364070.0	22758724.0	0.988226545644215	True	True	False	1.0	0.0
CVD_KHM_362	True	SRR25607324	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21189728.0	19089994.0	9487233.0	273314.0	22094.0	523057434.0	22606926.0	0.927287931101423	True	True	False	0.84	0.13
CVD_KHM_363	True	SRR25607323	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	5420162.0	461804.0	7743.0	280.0	0.0	83832591.0	19849118.0	0.991119414446608	True	True	False	1.0	0.0
CVD_KHM_364	True	SRR25607322	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22510945.0	22228053.0	21352228.0	19557261.0	14787116.0	2754945791.0	22830455.0	0.925730405297964	True	True	False	0.87	0.11
CVD_KHM_365	True	SRR25607321	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	5863826.0	770375.0	13697.0	506.0	0.0	85512805.0	18865860.0	0.940299407934964	True	True	False	1.0	0.0
CVD_KHM_366	True	SRR25607320	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	16649024.0	10617138.0	462841.0	36517.0	2418.0	236970300.0	21437044.0	0.991155266449134	True	True	False	1.0	0.0
CVD_KHM_367	True	SRR25607319	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22159471.0	21539902.0	18883731.0	12006005.0	322405.0	1147432053.0	22702205.0	0.990961524901267	True	True	False	1.0	0.0
CVD_KHM_368	True	SRR25607318	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22595845.0	22345584.0	21450244.0	19154574.0	12057375.0	2263594537.0	22873146.0	0.910243446344628	True	True	False	1.0	0.0
CVD_KHM_369	True	SRR25607317	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	18756183.0	14454356.0	1317878.0	84676.0	9670.0	311863132.0	22182651.0	0.993988729036485	True	True	False	1.0	0.0
CVD_KHM_370	True	SRR25607316	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21989141.0	21241620.0	18237374.0	11209840.0	223349.0	1082802277.0	22646089.0	0.992693435907933	True	True	False	1.0	0.0
CVD_KHM_371	True	SRR25607315	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22506847.0	22291590.0	21686053.0	20652456.0	18322523.0	4842470102.0	22786126.0	0.989939327230199	True	True	False	0.78	0.22
CVD_KHM_372	True	SRR25607313	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21261493.0	19893356.0	15181167.0	4601596.0	129445.0	794702509.0	22521148.0	0.833400599790482	True	True	False	1.0	0.0
CVD_KHM_373	True	SRR25607312	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	21810739.0	20855426.0	16263359.0	3003927.0	153610.0	789567280.0	22594854.0	0.992624818578902	True	True	False	1.0	0.0
CVD_KHM_374	True	SRR25607311	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22815550.0	22719125.0	22418167.0	21804029.0	19883937.0	4474567108.0	22945506.0	0.762830600715801	True	True	False	1.0	0.0
CVD_KHM_375	True	SRR25607310	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22565851.0	22397147.0	21919870.0	21057629.0	18977901.0	5075702025.0	22814900.0	0.990760555394802	True	True	False	1.0	0.0
CVD_KHM_376	True	SRR25607309	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	12901396.0	4467988.0	105159.0	15481.0	1086.0	154166612.0	21152360.0	0.993350761699914	True	True	False	1.0	0.0
CVD_KHM_377	True	SRR25607308	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22139789.0	21610053.0	19764069.0	15899917.0	3940935.0	1596117911.0	22688082.0	0.988967425058316	True	True	False	1.0	0.0
CVD_KHM_378	True	SRR25607307	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	12230591.0	3782598.0	68479.0	4641.0	35.0	144688235.0	21035625.0	0.993290934335127	True	True	False	1.0	0.0
CVD_KHM_379	True	SRR25607306	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	22253761.0	21699713.0	19291170.0	13158555.0	474215.0	1241701263.0	22742710.0	0.990505240537025	True	True	False	1.0	0.0
CVD_KHM_380	True	SRR25607305	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	19960218.0	17435584.0	6813584.0	170786.0	23618.0	445569542.0	22241327.0	0.989385770177403	True	True	False	1.0	0.0
CVD_KHM_381	True	SRR25607304	True	Cambodia	Oddar Meanchey	2016	AFRIMS	ESEA	16386563.0	10327488.0	387755.0	65641.0	7274.0	230575308.0	21594687.0	0.98724315362014	True	True	False	1.0	0.0
